ID,Year,Player,Pos,Height,Experience,Weight,BMI,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,AST/TOV,STL/TOV,TOV,PF,PTS
23291,2015,Andrew Nicholson,PF,202.5,2,112.5,27.43484225,25,ORL,40,3,492,10.3,0.483,0.216,0.132,3.8,15.2,9.4,7.3,0.6,2,10.7,20.8,,-0.2,0.3,0.1,0.007,,-4,-2.1,-6.2,-0.5,83,190,0.437,13,41,0.317,70,149,0.47,0.471,15,25,0.6,17,65,82,22,6,12,0.92,0.25,24,51,194
23483,2015,Andrew Wiggins,SF,,,,,19,MIN,82,82,2969,13.9,0.517,0.111,0.41,5,9.5,7.2,9.8,1.5,1.3,11.7,22.6,,2.1,0,2.1,0.034,,-0.5,-1.8,-2.3,-0.2,497,1137,0.437,39,126,0.31,458,1011,0.453,0.454,354,466,0.76,134,240,374,170,86,50,0.96,0.49,177,190,1387
22917,2015,Anthony Bennett,PF,200,1,110.25,27.5625,21,MIN,57,3,894,11.4,0.458,0.077,0.215,6.5,21.6,13.8,8.7,1.5,1.4,10,17.8,,-0.1,0.4,0.3,0.017,,-3.6,-1.2,-4.8,-0.6,125,297,0.421,7,23,0.304,118,274,0.431,0.433,41,64,0.641,52,164,216,48,27,16,1.33,0.75,36,87,298
23012,2015,Anthony Davis,PF,205,2,113.85,27.09101725,21,NOP,68,68,2455,30.8,0.591,0.01,0.384,8,24.1,16.1,11.6,2.1,6.2,6.3,27.8,,9.9,4.2,14,0.274,,4.2,3,7.1,5.7,642,1199,0.535,1,12,0.083,641,1187,0.54,0.536,371,461,0.805,173,523,696,149,100,200,1.57,1.05,95,141,1656
23273,2015,Anthony Morrow,SG,192.5,6,94.5,25.50177096,29,OKC,74,0,1806,14.8,0.604,0.528,0.145,2.4,9.1,5.8,5.2,1.5,0.5,5.5,16.5,,4.4,1.2,5.7,0.151,,2.4,-1.8,0.6,1.2,285,615,0.463,141,325,0.434,144,290,0.497,0.578,79,89,0.888,40,155,195,60,54,11,1.58,1.42,38,135,790
23451,2015,Anthony Tolliver,PF,200,1,89.1,22.275,29,TOT,76,11,1432,11.1,0.569,0.738,0.176,3.7,14.5,9,6.3,0.9,0.9,10.8,14.7,,1.8,0.9,2.7,0.092,,0.5,-1.1,-0.6,0.5,161,393,0.41,106,290,0.366,55,103,0.534,0.545,54,69,0.783,51,185,236,59,24,16,1.25,0.85,51,137,482
23084,2015,Archie Goodwin,SG,192.5,1,90,24.28740091,20,PHO,41,2,535,11.2,0.486,0.204,0.413,5.5,9.7,7.6,12.6,1.7,1.3,16.8,23.4,,-0.2,0.4,0.2,0.014,,-3.3,-1.2,-4.5,-0.3,79,201,0.393,12,41,0.293,67,160,0.419,0.423,61,83,0.735,27,47,74,44,18,9,0.92,0.38,48,55,231
23304,2015,Arinze Onuaku,C,202.5,1,114.75,27.98353909,27,MIN,6,1,68,22.8,0.771,0,0.571,11.4,24.3,17.7,10.2,0.7,3.5,10.2,12.7,,0.2,0,0.3,0.197,,2.5,-0.2,2.3,0.1,12,14,0.857,0,0,,12,14,0.857,0.857,3,8,0.375,7,14,21,4,1,3,2,0.5,2,6,27
22911,2015,Aron Baynes,C,205,2,117,27.84057109,28,SAS,70,17,1122,15.9,0.618,0.012,0.318,11.2,20.7,16.1,4.9,0.7,1.5,14.8,17.8,,2.3,1.6,3.9,0.166,,-0.7,-0.2,-1,0.3,185,327,0.566,1,4,0.25,184,323,0.57,0.567,90,104,0.865,109,209,318,35,16,22,0.54,0.25,65,162,461
22869,2015,Arron Afflalo,SG,207.5,2,125.55,29.15952969,29,TOT,78,72,2502,10.7,0.533,0.377,0.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19,,1.6,1,2.6,0.05,,-0.5,-1.3,-1.8,0.1,375,884,0.424,118,333,0.354,257,551,0.466,0.491,167,198,0.843,27,220,247,129,41,7,0.46,0.61,116,167,1035
23016,2015,Austin Daye,SF,207.5,5,99,22.99317753,26,TOT,34,4,344,8.2,0.449,0.504,0.043,3.4,21,12.4,7.5,1.8,1.1,13.8,22.1,,-0.6,0.5,0,-0.001,,-4.4,-1,-5.4,-0.3,50,141,0.355,24,71,0.338,26,70,0.371,0.44,5,6,0.833,10,65,75,17,12,5,0.74,0.52,23,39,129
23356,2015,Austin Rivers,PG-SG,190,2,90,24.93074792,22,TOT,76,5,1563,10.3,0.481,0.264,0.254,2,8.9,5.5,14.7,1.6,0.7,10.5,17.9,,0.5,1,1.5,0.046,,-1.7,-1.2,-2.9,-0.4,203,496,0.409,39,131,0.298,164,365,0.449,0.449,85,126,0.675,27,125,152,155,48,14,2.39,0.74,65,146,530
22934,2015,Avery Bradley,SG,185,4,81,23.66691015,24,BOS,77,77,2428,11.5,0.507,0.348,0.099,2,8.9,5.4,8.9,1.7,0.5,9.4,21,,0.4,2.1,2.5,0.049,,-0.8,-0.9,-1.7,0.2,434,1012,0.429,124,352,0.352,310,660,0.47,0.49,79,100,0.79,46,195,241,135,82,15,1.24,0.75,109,177,1071
23086,2015,Ben Gordon,SG,187.5,10,90,25.6,31,ORL,56,0,790,10.6,0.538,0.329,0.227,0.8,8.3,4.5,10.3,0.9,0.1,14.5,21.8,,0.1,0.2,0.3,0.015,,-2.5,-3.6,-6.1,-0.8,129,295,0.437,35,97,0.361,94,198,0.475,0.497,56,67,0.836,6,57,63,50,14,1,0.91,0.26,55,60,349
23247,2015,Ben McLemore,SG,192.5,1,87.75,23.68021589,21,SAC,82,82,2670,10.4,0.552,0.471,0.193,1.4,8.6,5.1,8.4,1.5,0.6,13.3,17.2,,1.7,0.8,2.5,0.045,,0.4,-1.3,-0.8,0.8,363,831,0.437,140,391,0.358,223,440,0.507,0.521,130,160,0.813,31,210,241,140,77,19,1.01,0.56,138,219,996
23459,2015,Beno Udrih,PG,,,,,32,MEM,79,12,1494,15.4,0.55,0.192,0.202,1.5,9.4,5.5,24,1.6,0.4,13.9,19.6,,2,1.6,3.6,0.115,,0.2,-1,-0.8,0.5,246,505,0.487,26,97,0.268,220,408,0.539,0.513,87,102,0.853,20,123,143,220,46,8,2.47,0.52,89,88,605
23153,2015,Bernard James,C,205,2,108,25.6989887,29,DAL,16,2,158,16,0.593,0,0.852,12.5,14.6,13.5,3.4,0.6,7.7,13.9,12.2,,0.4,0.2,0.5,0.165,,-1.3,2.9,1.6,0.1,12,27,0.444,0,0,,12,27,0.444,0.444,20,23,0.87,18,21,39,4,2,15,0.67,0.33,6,17,44
22920,2015,Bismack Biyombo,C,202.5,3,114.75,27.98353909,22,CHO,64,21,1243,15.2,0.578,0,0.941,13.7,22.6,18,2,0.7,6.3,16.5,11.6,,1.8,2.2,4,0.156,,-3.2,2.8,-0.4,0.5,101,186,0.543,0,0,,101,186,0.543,0.543,102,175,0.583,159,248,407,16,18,99,0.31,0.35,52,140,304
23103,2015,Blake Griffin,PF,205,4,112.95,26.87685901,25,LAC,67,67,2356,22.8,0.551,0.022,0.373,6.1,17.9,12.1,26.2,1.4,1.2,10.2,28.4,,6.6,2.4,9,0.183,,3.1,1,4.1,3.6,574,1144,0.502,10,25,0.4,564,1119,0.504,0.506,311,427,0.728,126,382,508,354,63,35,2.33,0.41,152,196,1469
22928,2015,Bojan Bogdanovic,SF,200,R,97.2,24.3,25,BRK,78,28,1854,11.6,0.562,0.444,0.184,3,9.8,6.4,5.8,0.9,0.4,11.1,17.2,,1.7,0.7,2.4,0.062,,0,-1.9,-1.8,0.1,261,576,0.453,91,256,0.355,170,320,0.531,0.532,87,106,0.821,50,163,213,68,34,9,0.87,0.44,78,104,700
23023,2015,Boris Diaw,PF,200,11,112.5,28.125,32,SAS,81,15,1984,12.7,0.526,0.267,0.147,4.5,15.2,10,17.9,0.9,0.9,15.8,18.3,,1.3,2.3,3.6,0.088,,-0.6,0.7,0.1,1.1,291,632,0.46,54,169,0.32,237,463,0.512,0.503,72,93,0.774,78,270,348,233,36,23,1.85,0.29,126,148,708
22913,2015,Bradley Beal,SG,192.5,2,93.15,25.13745994,21,WAS,63,59,2107,14,0.521,0.304,0.195,3.1,9.6,6.4,15,1.8,0.7,11.7,22.5,,1.3,2.4,3.7,0.085,,0.5,-0.1,0.5,1.3,363,851,0.427,106,259,0.409,257,592,0.434,0.489,130,166,0.783,57,184,241,194,76,18,1.58,0.62,123,136,962
23503,2015,Brandan Wright,PF,,,,,27,TOT,75,7,1449,20.4,0.66,0.008,0.309,9.6,14.7,12.1,4.4,1.7,5.1,7.6,13.6,,4.3,1.8,6.1,0.202,,1.2,2.4,3.6,2,233,363,0.642,0,3,0,233,360,0.647,0.642,78,112,0.696,128,193,321,41,50,94,1.21,1.47,34,102,544
22908,2015,Brandon Bass,PF,200,9,112.5,28.125,29,BOS,82,43,1929,16.3,0.557,0.047,0.313,7.8,14.9,11.3,8.6,1.1,1.3,9.6,19.5,,3.4,1.9,5.3,0.132,,-0.4,-0.1,-0.5,0.7,344,683,0.504,9,32,0.281,335,651,0.515,0.51,169,214,0.79,139,259,398,104,41,32,1.25,0.49,83,140,866
23009,2015,Brandon Davies,PF,205,1,108,25.6989887,23,TOT,27,6,423,10.5,0.463,0.248,0.27,9.4,12.1,10.7,12.4,2.1,1.3,15.9,18.9,,-0.2,0.4,0.2,0.028,,-3.1,-0.1,-3.2,-0.1,55,137,0.401,8,34,0.235,47,103,0.456,0.431,24,37,0.649,38,45,83,30,18,7,1.03,0.62,29,59,142
23159,2015,Brandon Jennings,PG,182.5,5,76.5,22.96866204,25,DET,41,41,1173,19.7,0.522,0.389,0.263,1.9,8,4.8,39.9,1.9,0.3,12.9,26.3,,2.6,0.7,3.3,0.136,,4.3,-2.5,1.8,1.1,218,543,0.401,76,211,0.36,142,332,0.428,0.471,120,143,0.839,21,83,104,272,44,4,3.02,0.49,90,64,632
23193,2015,Brandon Knight,PG-SG,187.5,3,85.05,24.192,23,TOT,63,61,2035,17.1,0.543,0.361,0.251,1.6,12,6.8,27.4,2.3,0.4,16.1,25.9,,2,2.5,4.5,0.106,,1.7,-0.7,1.1,1.6,375,888,0.422,125,321,0.389,250,567,0.441,0.493,195,223,0.874,28,216,244,330,90,10,1.75,0.48,189,114,1070
23377,2015,Brandon Rush,SG,195,6,99,26.03550296,29,GSW,33,0,271,0.8,0.255,0.5,0.204,1.6,14.3,8.2,5.4,0.9,3.3,15.8,11.2,,-0.7,0.4,-0.3,-0.056,,-7.7,1.8,-6,-0.3,11,54,0.204,3,27,0.111,8,27,0.296,0.231,5,11,0.455,4,37,41,12,5,12,1.09,0.46,11,27,30
23124,2015,Brendan Haywood,C,202.5,2,94.5,23.04526749,35,CLE,22,1,119,9.1,0.49,0,0.433,5.9,21.9,14,2.5,0.9,6.6,21.9,17.3,,-0.2,0.2,0,0.008,,-7.9,1.3,-6.6,-0.1,14,30,0.467,0,0,,14,30,0.467,0.467,7,13,0.538,6,23,29,2,2,10,1.6,1.4,10,17,35
23360,2015,Brian Roberts,PG,182.5,2,77.85,23.37399137,29,CHO,72,10,1330,11.7,0.495,0.427,0.164,1,8.2,4.5,20.3,1.3,0.4,10.5,18.6,,0.6,1.2,1.8,0.064,,-0.8,-1.7,-2.5,-0.2,176,452,0.389,62,193,0.321,114,259,0.44,0.458,66,74,0.892,13,96,109,162,33,6,2.84,0.58,57,75,480
